"","yr1status","YrFireName","Species","DBH_cm","Genus_species","CVS_percent","BCHM_m","BTL"
"22755",0,"2000 - Mussigbrod","ABLA",12.41408556,"Abies_lasiocarpa",0,0,0
"22756",0,"2000 - Mussigbrod","ABLA",27.05634033,"Abies_lasiocarpa",0,0,0
"22757",0,"2000 - Mussigbrod","ABLA",14.32394488,"Abies_lasiocarpa",0,0,0
"22758",0,"2000 - Mussigbrod","ABLA",13.36901522,"Abies_lasiocarpa",0,0,0
"22759",0,"2000 - Mussigbrod","ABLA",18.4619734,"Abies_lasiocarpa",0,1.22,0
"22760",0,"2000 - Mussigbrod","ABLA",14.64225476,"Abies_lasiocarpa",0,0.3,0
"22761",0,"2000 - Mussigbrod","ABLA",17.78,"Abies_lasiocarpa",0,1.22,0
"22762",0,"2000 - Mussigbrod","ABLA",21.336,"Abies_lasiocarpa",0,0.61,0
"22763",0,"2000 - Mussigbrod","ABLA",14.64225476,"Abies_lasiocarpa",1,0,0
"22764",0,"2000 - Mussigbrod","ABLA",20.828,"Abies_lasiocarpa",1,0,0
"22765",0,"2000 - Mussigbrod","ABLA",14.986,"Abies_lasiocarpa",1,0,0
"22766",0,"2000 - Mussigbrod","ABLA",22.60000192,"Abies_lasiocarpa",2,0,0
"22767",1,"2000 - Mussigbrod","ABLA",32.46760839,"Abies_lasiocarpa",2,0.15,0
"22768",0,"2000 - Mussigbrod","ABLA",12.41408556,"Abies_lasiocarpa",2,0,0
"22769",0,"2000 - Mussigbrod","ABLA",28.448,"Abies_lasiocarpa",5,0,0
"22770",0,"2000 - Mussigbrod","ABLA",20.6901426,"Abies_lasiocarpa",5,0.15,0
"22771",0,"2000 - Mussigbrod","ABLA",47.10986316,"Abies_lasiocarpa",5,0,0
"22772",0,"2000 - Mussigbrod","ABLA",19.73521294,"Abies_lasiocarpa",5,0,0
"22773",0,"2000 - Mussigbrod","ABLA",14.96056465,"Abies_lasiocarpa",5,0,0
"22774",1,"2000 - Mussigbrod","ABLA",14.00563499,"Abies_lasiocarpa",5,0.3,0
"22775",0,"2000 - Mussigbrod","ABLA",20.05352283,"Abies_lasiocarpa",5,0,0
"22776",0,"2000 - Mussigbrod","ABLA",22.352,"Abies_lasiocarpa",5,0,0
"22777",0,"2000 - Mussigbrod","ABLA",13.68732511,"Abies_lasiocarpa",10,0,0
"22778",1,"2000 - Mussigbrod","ABLA",16.55211408,"Abies_lasiocarpa",10,1.83,0
"22779",0,"2000 - Mussigbrod","ABLA",15.91549431,"Abies_lasiocarpa",10,0.3,0
"22780",0,"2000 - Mussigbrod","ABLA",30.55774907,"Abies_lasiocarpa",10,0.3,0
"22781",0,"2000 - Mussigbrod","ABLA",13.05070533,"Abies_lasiocarpa",10,0,0
"22782",0,"2000 - Mussigbrod","ABLA",16.87042397,"Abies_lasiocarpa",10,0,0
"22783",1,"2000 - Mussigbrod","ABLA",20.37183272,"Abies_lasiocarpa",10,2.44,0
"22784",0,"2000 - Mussigbrod","ABLA",36.28732702,"Abies_lasiocarpa",10,0,0
"22785",0,"2000 - Mussigbrod","ABLA",14.00563499,"Abies_lasiocarpa",10,0,0
"22786",0,"2000 - Mussigbrod","ABLA",17.50704374,"Abies_lasiocarpa",10,0,0
"22787",0,"2000 - Mussigbrod","ABLA",33.42253805,"Abies_lasiocarpa",10,0.91,0
"22788",0,"2000 - Mussigbrod","ABLA",30.48,"Abies_lasiocarpa",10,0.46,0
"22789",0,"2000 - Mussigbrod","ABLA",14.224,"Abies_lasiocarpa",10,0.61,0
"22790",0,"2000 - Mussigbrod","ABLA",18.542,"Abies_lasiocarpa",10,0.46,0
"22791",1,"2000 - Mussigbrod","ABLA",17.526,"Abies_lasiocarpa",10,0.3,0
"22792",0,"2000 - Mussigbrod","ABLA",31.83098862,"Abies_lasiocarpa",15,1.83,0
"22793",0,"2000 - Mussigbrod","ABLA",13.97,"Abies_lasiocarpa",15,0.3,0
"22794",1,"2000 - Mussigbrod","ABLA",18.78028328,"Abies_lasiocarpa",20,0.61,0
"22795",0,"2000 - Mussigbrod","ABLA",13.36901522,"Abies_lasiocarpa",20,3.05,0
"22796",0,"2000 - Mussigbrod","ABLA",12.41408556,"Abies_lasiocarpa",20,0,0
"22797",0,"2000 - Mussigbrod","ABLA",12.41408556,"Abies_lasiocarpa",20,0,0
"22798",1,"2000 - Mussigbrod","ABLA",14.32394488,"Abies_lasiocarpa",20,2.44,0
"22799",1,"2000 - Mussigbrod","ABLA",18.14366351,"Abies_lasiocarpa",20,1.52,0
"22800",0,"2000 - Mussigbrod","ABLA",15.91549431,"Abies_lasiocarpa",20,1.52,0
"22801",0,"2000 - Mussigbrod","ABLA",12.73239545,"Abies_lasiocarpa",20,0,0
"22802",1,"2000 - Mussigbrod","ABLA",36.60563691,"Abies_lasiocarpa",20,0,0
"22803",1,"2000 - Mussigbrod","ABLA",19.41690306,"Abies_lasiocarpa",20,0.91,0
"22804",1,"2000 - Mussigbrod","ABLA",13.68732511,"Abies_lasiocarpa",20,2.13,0
"22805",0,"2000 - Mussigbrod","ABLA",30.23943919,"Abies_lasiocarpa",20,0,0
"22806",0,"2000 - Mussigbrod","ABLA",12.41408556,"Abies_lasiocarpa",20,0,0
"22807",0,"2000 - Mussigbrod","ABLA",13.716,"Abies_lasiocarpa",20,0,0
"22808",0,"2000 - Mussigbrod","ABLA",22.352,"Abies_lasiocarpa",20,0.91,0
"22809",0,"2000 - Mussigbrod","ABLA",34.544,"Abies_lasiocarpa",20,1.83,0
"22810",1,"2000 - Mussigbrod","ABLA",12.7,"Abies_lasiocarpa",20,0.3,0
"22811",0,"2000 - Mussigbrod","ABLA",21.32676237,"Abies_lasiocarpa",30,0,0
"22812",0,"2000 - Mussigbrod","ABLA",15.91549431,"Abies_lasiocarpa",30,0.3,0
"22813",0,"2000 - Mussigbrod","ABLA",35.33239737,"Abies_lasiocarpa",30,0,0
"22814",1,"2000 - Mussigbrod","ABLA",17.50704374,"Abies_lasiocarpa",30,6.1,0
"22815",0,"2000 - Mussigbrod","ABLA",16.87042397,"Abies_lasiocarpa",30,0,0
"22816",0,"2000 - Mussigbrod","ABLA",15.59718442,"Abies_lasiocarpa",30,1.22,0
"22817",1,"2000 - Mussigbrod","ABLA",12.41408556,"Abies_lasiocarpa",30,0.3,0
"22818",1,"2000 - Mussigbrod","ABLA",24.19155135,"Abies_lasiocarpa",30,6.1,0
"22819",0,"2000 - Mussigbrod","ABLA",30.55774907,"Abies_lasiocarpa",30,0,0
"22820",0,"2000 - Mussigbrod","ABLA",18.78028328,"Abies_lasiocarpa",30,0.15,0
"22821",0,"2000 - Mussigbrod","ABLA",15.27887454,"Abies_lasiocarpa",30,0.61,0
"22822",1,"2000 - Mussigbrod","ABLA",13.97,"Abies_lasiocarpa",30,0,0
"22823",0,"2000 - Mussigbrod","ABLA",19.05,"Abies_lasiocarpa",30,1.68,0
"22824",0,"2000 - Mussigbrod","ABLA",19.812,"Abies_lasiocarpa",30,0.91,0
"22825",0,"2000 - Mussigbrod","ABLA",17.78,"Abies_lasiocarpa",30,0,0
"22826",1,"2000 - Mussigbrod","ABLA",14.64225476,"Abies_lasiocarpa",40,2.44,0
"22827",1,"2000 - Mussigbrod","ABLA",14.00563499,"Abies_lasiocarpa",40,1.83,0
"22828",1,"2000 - Mussigbrod","ABLA",18.4619734,"Abies_lasiocarpa",40,4.57,0
"22829",0,"2000 - Mussigbrod","ABLA",27.37465021,"Abies_lasiocarpa",40,1.22,0
"22830",0,"2000 - Mussigbrod","ABLA",16.55211408,"Abies_lasiocarpa",40,0,0
"22831",0,"2000 - Mussigbrod","ABLA",15.27887454,"Abies_lasiocarpa",40,0.91,0
"22832",0,"2000 - Mussigbrod","ABLA",17.82535363,"Abies_lasiocarpa",40,0.15,0
"22833",0,"2000 - Mussigbrod","ABLA",14.64225476,"Abies_lasiocarpa",40,0.3,0
"22834",0,"2000 - Mussigbrod","ABLA",15.59718442,"Abies_lasiocarpa",40,0.15,0
"22835",0,"2000 - Mussigbrod","ABLA",14.64225476,"Abies_lasiocarpa",40,0,0
"22836",0,"2000 - Mussigbrod","ABLA",12.41408556,"Abies_lasiocarpa",40,0,0
"22837",0,"2000 - Mussigbrod","ABLA",19.09859317,"Abies_lasiocarpa",40,0.15,0
"22838",0,"2000 - Mussigbrod","ABLA",14.32394488,"Abies_lasiocarpa",40,0.76,0
"22839",0,"2000 - Mussigbrod","ABLA",28.702,"Abies_lasiocarpa",40,3.05,0
"22840",0,"2000 - Mussigbrod","ABLA",17.272,"Abies_lasiocarpa",40,1.52,0
"22841",0,"2000 - Mussigbrod","ABLA",28.194,"Abies_lasiocarpa",50,0,0
"22842",1,"2000 - Mussigbrod","ABLA",13.36901522,"Abies_lasiocarpa",50,3.05,0
"22843",1,"2000 - Mussigbrod","ABLA",15.91549431,"Abies_lasiocarpa",50,0.91,0
"22844",1,"2000 - Mussigbrod","ABLA",17.82535363,"Abies_lasiocarpa",50,6.1,0
"22845",1,"2000 - Mussigbrod","ABLA",17.50704374,"Abies_lasiocarpa",50,4.57,0
"22846",1,"2000 - Mussigbrod","ABLA",15.27887454,"Abies_lasiocarpa",50,4.57,0
"22847",0,"2000 - Mussigbrod","ABLA",17.82535363,"Abies_lasiocarpa",50,0.61,0
"22848",0,"2000 - Mussigbrod","ABLA",12.73239545,"Abies_lasiocarpa",50,1.52,0
"22849",0,"2000 - Mussigbrod","ABLA",19.41690306,"Abies_lasiocarpa",50,6.1,0
"22850",1,"2000 - Mussigbrod","ABLA",16.55211408,"Abies_lasiocarpa",50,3.05,0
"22851",1,"2000 - Mussigbrod","ABLA",12.446,"Abies_lasiocarpa",50,0,0
"22852",1,"2000 - Mussigbrod","ABLA",27.37465021,"Abies_lasiocarpa",60,6.1,0
"22853",1,"2000 - Mussigbrod","ABLA",32.78591828,"Abies_lasiocarpa",60,0,0
"22854",1,"2000 - Mussigbrod","ABLA",17.50704374,"Abies_lasiocarpa",60,0.3,0
"22855",1,"2000 - Mussigbrod","ABLA",19.41690306,"Abies_lasiocarpa",60,6.1,0
"22856",1,"2000 - Mussigbrod","ABLA",20.37183272,"Abies_lasiocarpa",60,2.44,0
"22857",1,"2000 - Mussigbrod","ABLA",24.50986124,"Abies_lasiocarpa",60,2.13,0
"22858",0,"2000 - Mussigbrod","ABLA",18.4619734,"Abies_lasiocarpa",60,0.3,0
"22859",0,"2000 - Mussigbrod","ABLA",18.78028328,"Abies_lasiocarpa",60,0,0
"22860",1,"2000 - Mussigbrod","ABLA",12.41408556,"Abies_lasiocarpa",60,0.91,0
"22861",0,"2000 - Mussigbrod","ABLA",14.986,"Abies_lasiocarpa",60,0.15,0
"22862",0,"2000 - Mussigbrod","ABLA",21.96338215,"Abies_lasiocarpa",70,0,0
"22863",0,"2000 - Mussigbrod","ABLA",18.78028328,"Abies_lasiocarpa",70,0.15,0
"22864",0,"2000 - Mussigbrod","ABLA",14.32394488,"Abies_lasiocarpa",70,0,0
"22865",1,"2000 - Mussigbrod","ABLA",24.50986124,"Abies_lasiocarpa",70,9.14,0
"22866",0,"2000 - Mussigbrod","ABLA",12.73239545,"Abies_lasiocarpa",70,0,0
"22867",1,"2000 - Mussigbrod","ABLA",18.78028328,"Abies_lasiocarpa",70,0.91,0
"22868",1,"2000 - Mussigbrod","ABLA",12.41408556,"Abies_lasiocarpa",70,0.91,0
"22869",1,"2000 - Mussigbrod","ABLA",14.32394488,"Abies_lasiocarpa",70,3.05,0
"22870",0,"2000 - Mussigbrod","ABLA",37.56056657,"Abies_lasiocarpa",70,1.22,0
"22871",1,"2000 - Mussigbrod","ABLA",14.64225476,"Abies_lasiocarpa",70,0.91,0
"22872",1,"2000 - Mussigbrod","ABLA",32.004,"Abies_lasiocarpa",70,6.1,0
"22873",0,"2000 - Mussigbrod","ABLA",17.78,"Abies_lasiocarpa",70,0.46,0
"22874",0,"2000 - Mussigbrod","ABLA",23.55493158,"Abies_lasiocarpa",80,0,0
"22875",1,"2000 - Mussigbrod","ABLA",22.28169203,"Abies_lasiocarpa",80,9.14,0
"22876",1,"2000 - Mussigbrod","ABLA",20.6901426,"Abies_lasiocarpa",80,3.05,0
"22877",1,"2000 - Mussigbrod","ABLA",14.64225476,"Abies_lasiocarpa",80,0.3,0
"22878",1,"2000 - Mussigbrod","ABLA",14.96056465,"Abies_lasiocarpa",80,0.91,0
"22879",1,"2000 - Mussigbrod","ABLA",24.50986124,"Abies_lasiocarpa",80,7.62,0
"22880",0,"2000 - Mussigbrod","ABLA",18.14366351,"Abies_lasiocarpa",80,1.22,0
"22881",0,"2000 - Mussigbrod","ABLA",19.41690306,"Abies_lasiocarpa",80,9.14,0
"22882",1,"2000 - Mussigbrod","ABLA",16.87042397,"Abies_lasiocarpa",80,3.05,0
"22883",1,"2000 - Mussigbrod","ABLA",27.6929601,"Abies_lasiocarpa",80,4.57,0
"22884",1,"2000 - Mussigbrod","ABLA",36.28732702,"Abies_lasiocarpa",80,6.1,0
"22885",1,"2000 - Mussigbrod","ABLA",17.82535363,"Abies_lasiocarpa",80,1.83,0
"22886",0,"2000 - Mussigbrod","ABLA",34.37746771,"Abies_lasiocarpa",80,0.3,0
"22887",0,"2000 - Mussigbrod","ABLA",14.986,"Abies_lasiocarpa",80,1.83,0
"22888",0,"2000 - Mussigbrod","ABLA",27.94,"Abies_lasiocarpa",80,0.3,0
"22889",1,"2000 - Mussigbrod","ABLA",12.7,"Abies_lasiocarpa",90,0,0
"22890",0,"2000 - Mussigbrod","ABLA",38.608,"Abies_lasiocarpa",90,0.3,0
"22891",1,"2000 - Mussigbrod","ABLA",45.51831372,"Abies_lasiocarpa",90,21.34,0
"22892",0,"2000 - Mussigbrod","ABLA",47.10986316,"Abies_lasiocarpa",90,0.15,0
"22893",1,"2000 - Mussigbrod","ABLA",12.41408556,"Abies_lasiocarpa",90,0.3,0
"22894",1,"2000 - Mussigbrod","ABLA",14.96056465,"Abies_lasiocarpa",90,6.1,0
"22895",1,"2000 - Mussigbrod","ABLA",15.24,"Abies_lasiocarpa",90,0.61,0
"22896",1,"2000 - Mussigbrod","ABLA",13.462,"Abies_lasiocarpa",90,2.13,0
"22897",1,"2000 - Mussigbrod","ABLA",22.352,"Abies_lasiocarpa",90,4.57,0
"22898",1,"2000 - Mussigbrod","ABLA",15.24,"Abies_lasiocarpa",90,0.91,0
"22899",0,"2000 - Mussigbrod","ABLA",13.462,"Abies_lasiocarpa",90,0.61,0
"22900",1,"2000 - Mussigbrod","ABLA",16.51,"Abies_lasiocarpa",95,1.83,0
"22901",1,"2000 - Mussigbrod","ABLA",21.336,"Abies_lasiocarpa",95,6.1,0
"22902",1,"2000 - Mussigbrod","ABLA",18.034,"Abies_lasiocarpa",95,4.57,0
"22903",1,"2000 - Mussigbrod","ABLA",17.018,"Abies_lasiocarpa",99,1.83,0
"22904",1,"2000 - Mussigbrod","ABLA",13.462,"Abies_lasiocarpa",100,1.52,0
"22905",1,"2000 - Mussigbrod","ABLA",12.41408556,"Abies_lasiocarpa",100,4.27,0
"22906",1,"2000 - Mussigbrod","ABLA",40.10704566,"Abies_lasiocarpa",100,18.29,0
"22907",1,"2000 - Mussigbrod","ABLA",39.78873577,"Abies_lasiocarpa",100,18.29,0
"22908",1,"2000 - Mussigbrod","ABLA",17.50704374,"Abies_lasiocarpa",100,9.14,0
"22909",1,"2000 - Mussigbrod","ABLA",39.78873577,"Abies_lasiocarpa",100,18.29,0
"22910",1,"2000 - Mussigbrod","ABLA",16.87042397,"Abies_lasiocarpa",100,6.1,0
"22911",1,"2000 - Mussigbrod","ABLA",30.55774907,"Abies_lasiocarpa",100,0,0
"22912",1,"2000 - Mussigbrod","ABLA",17.18873385,"Abies_lasiocarpa",100,6.1,0
"22913",1,"2000 - Mussigbrod","ABLA",31.83098862,"Abies_lasiocarpa",100,15.24,0
"22914",1,"2000 - Mussigbrod","ABLA",34.05915782,"Abies_lasiocarpa",100,18.29,0
"22915",1,"2000 - Mussigbrod","ABLA",13.36901522,"Abies_lasiocarpa",100,9.14,0
"22916",1,"2000 - Mussigbrod","ABLA",14.00563499,"Abies_lasiocarpa",100,3.05,0
"22917",1,"2000 - Mussigbrod","ABLA",30.87605896,"Abies_lasiocarpa",100,18.29,0
"22918",1,"2000 - Mussigbrod","ABLA",28.96619964,"Abies_lasiocarpa",100,12.19,0
"22919",1,"2000 - Mussigbrod","ABLA",26.10141067,"Abies_lasiocarpa",100,9.14,0
"22920",1,"2000 - Mussigbrod","ABLA",13.36901522,"Abies_lasiocarpa",100,2.13,0
"22921",1,"2000 - Mussigbrod","ABLA",12.41408556,"Abies_lasiocarpa",100,0.3,0
"22922",1,"2000 - Mussigbrod","ABLA",21.32676237,"Abies_lasiocarpa",100,9.14,0
"22923",1,"2000 - Mussigbrod","ABLA",15.59718442,"Abies_lasiocarpa",100,1.52,0
"22924",1,"2000 - Mussigbrod","ABLA",33.10422816,"Abies_lasiocarpa",100,3.05,0
"22925",1,"2000 - Mussigbrod","ABLA",21.96338215,"Abies_lasiocarpa",100,3.05,0
"22926",1,"2000 - Mussigbrod","ABLA",13.68732511,"Abies_lasiocarpa",100,2.44,0
"22927",1,"2000 - Mussigbrod","ABLA",12.41408556,"Abies_lasiocarpa",100,3.05,0
"22928",1,"2000 - Mussigbrod","ABLA",30.23943919,"Abies_lasiocarpa",100,6.1,0
"22929",1,"2000 - Mussigbrod","ABLA",12.7,"Abies_lasiocarpa",100,1.83,0
"22930",1,"2000 - Mussigbrod","ABLA",23.622,"Abies_lasiocarpa",100,0.91,0
"22931",1,"2000 - Mussigbrod","ABLA",14.732,"Abies_lasiocarpa",100,7.62,0
"22932",1,"2000 - Mussigbrod","ABLA",18.542,"Abies_lasiocarpa",100,1.52,0
"22933",1,"2002 - Tenderfoot Fall","ABLA",10.922,"Abies_lasiocarpa",100,1.22,0
"22934",1,"2002 - Tenderfoot Fall","ABLA",10.414,"Abies_lasiocarpa",100,0.91,0
"22935",1,"2002 - Tenderfoot Fall","ABLA",10.922,"Abies_lasiocarpa",100,1.83,0
"22936",1,"2002 - Tenderfoot Fall","ABLA",24.13,"Abies_lasiocarpa",100,0.15,0
"22937",1,"2002 - Tenderfoot Fall","ABLA",17.018,"Abies_lasiocarpa",100,0.3,0
"22938",1,"2002 - Tenderfoot Fall","ABLA",22.86,"Abies_lasiocarpa",100,6.1,0
"22939",1,"2002 - Tenderfoot Fall","ABLA",16.002,"Abies_lasiocarpa",100,1.52,0
"22940",1,"2002 - Tenderfoot Fall","ABLA",18.542,"Abies_lasiocarpa",100,7.62,0
"22941",1,"2002 - Tenderfoot Fall","ABLA",16.764,"Abies_lasiocarpa",100,4.57,0
"22942",1,"2002 - Tenderfoot Fall","ABLA",10.414,"Abies_lasiocarpa",100,2.44,0
"22943",1,"2002 - Tenderfoot Fall","ABLA",21.336,"Abies_lasiocarpa",100,6.1,0
"22944",1,"2002 - Tenderfoot Fall","ABLA",18.796,"Abies_lasiocarpa",100,3.05,0
"22945",1,"2002 - Tenderfoot Fall","ABLA",15.24,"Abies_lasiocarpa",100,6.1,0
"22946",0,"2003 - Tenderfoot Spring","ABLA",12.192,"Abies_lasiocarpa",0,0,0
"22947",0,"2003 - Tenderfoot Spring","ABLA",15.494,"Abies_lasiocarpa",0,0,0
"22948",0,"2003 - Tenderfoot Spring","ABLA",14.224,"Abies_lasiocarpa",0,0,0
"22949",0,"2003 - Tenderfoot Spring","ABLA",11.43,"Abies_lasiocarpa",0,0,0
"22950",0,"2003 - Tenderfoot Spring","ABLA",14.478,"Abies_lasiocarpa",0,0,0
"22951",0,"2003 - Tenderfoot Spring","ABLA",13.208,"Abies_lasiocarpa",0,0,0
"22952",0,"2003 - Tenderfoot Spring","ABLA",16.002,"Abies_lasiocarpa",0,0,0
"22953",0,"2003 - Tenderfoot Spring","ABLA",13.208,"Abies_lasiocarpa",0,0,0
"22954",0,"2003 - Tenderfoot Spring","ABLA",15.24,"Abies_lasiocarpa",0,0,0
"22957",0,"2003 - Tenderfoot Spring","ABLA",10.668,"Abies_lasiocarpa",0,0,0
"22958",0,"2003 - Tenderfoot Spring","ABLA",20.828,"Abies_lasiocarpa",0,0,0
"22959",0,"2003 - Tenderfoot Spring","ABLA",13.462,"Abies_lasiocarpa",0,0.15,0
"22960",0,"2003 - Tenderfoot Spring","ABLA",14.732,"Abies_lasiocarpa",0,0.15,0
"22961",0,"2003 - Tenderfoot Spring","ABLA",19.304,"Abies_lasiocarpa",0,0,0
"22962",0,"2003 - Tenderfoot Spring","ABLA",10.668,"Abies_lasiocarpa",0,0,0
"22963",0,"2003 - Tenderfoot Spring","ABLA",23.876,"Abies_lasiocarpa",0,0,0
"22964",0,"2003 - Tenderfoot Spring","ABLA",14.732,"Abies_lasiocarpa",0,0,0
"22965",0,"2003 - Tenderfoot Spring","ABLA",24.892,"Abies_lasiocarpa",0,0,0
"22966",0,"2003 - Tenderfoot Spring","ABLA",17.526,"Abies_lasiocarpa",0,0,0
"22967",0,"2003 - Tenderfoot Spring","ABLA",19.812,"Abies_lasiocarpa",0,0.15,0
"22968",0,"2003 - Tenderfoot Spring","ABLA",14.986,"Abies_lasiocarpa",0,0,0
"22969",0,"2003 - Tenderfoot Spring","ABLA",17.018,"Abies_lasiocarpa",0,0,0
"22970",0,"2003 - Tenderfoot Spring","ABLA",20.32,"Abies_lasiocarpa",0,0,0
"22971",0,"2003 - Tenderfoot Spring","ABLA",19.304,"Abies_lasiocarpa",0,0,0
"22972",0,"2003 - Tenderfoot Spring","ABLA",16.256,"Abies_lasiocarpa",0,0,0
"22973",0,"2003 - Tenderfoot Spring","ABLA",12.192,"Abies_lasiocarpa",0,0,0
"22974",0,"2003 - Tenderfoot Spring","ABLA",15.24,"Abies_lasiocarpa",0,0,0
"22975",0,"2003 - Tenderfoot Spring","ABLA",10.414,"Abies_lasiocarpa",0,0,0
"22976",0,"2003 - Tenderfoot Spring","ABLA",15.748,"Abies_lasiocarpa",0,0,0
"22977",0,"2003 - Tenderfoot Spring","ABLA",15.748,"Abies_lasiocarpa",0,0,0
"22978",0,"2003 - Tenderfoot Spring","ABLA",11.43,"Abies_lasiocarpa",0,0.15,0
"22979",0,"2003 - Tenderfoot Spring","ABLA",10.16,"Abies_lasiocarpa",0,0,0
"22980",0,"2003 - Tenderfoot Spring","ABLA",13.462,"Abies_lasiocarpa",0,0,0
"22981",0,"2003 - Tenderfoot Spring","ABLA",13.97,"Abies_lasiocarpa",0,0.15,0
"22982",0,"2003 - Tenderfoot Spring","ABLA",10.414,"Abies_lasiocarpa",0,0,0
"22983",0,"2003 - Tenderfoot Spring","ABLA",11.684,"Abies_lasiocarpa",0,0,0
"22984",0,"2003 - Tenderfoot Spring","ABLA",10.922,"Abies_lasiocarpa",0,0.15,0
"22985",0,"2003 - Tenderfoot Spring","ABLA",12.446,"Abies_lasiocarpa",0,0,0
"22986",1,"2002 - Tenderfoot Fall","ABLA",14.732,"Abies_lasiocarpa",100,4.57,0
"22987",1,"2002 - Tenderfoot Fall","ABLA",16.002,"Abies_lasiocarpa",100,6.1,0
"22988",1,"2002 - Tenderfoot Fall","ABLA",13.208,"Abies_lasiocarpa",100,6.1,0
"22989",1,"2002 - Tenderfoot Fall","ABLA",16.764,"Abies_lasiocarpa",100,6.1,0
"22990",1,"2002 - Tenderfoot Fall","ABLA",10.16,"Abies_lasiocarpa",100,9.14,0
"22991",1,"2002 - Tenderfoot Fall","ABLA",12.446,"Abies_lasiocarpa",100,6.1,0
"22992",1,"2002 - Tenderfoot Fall","ABLA",11.684,"Abies_lasiocarpa",100,6.1,0
"22993",1,"2002 - Tenderfoot Fall","ABLA",11.176,"Abies_lasiocarpa",100,7.62,0
"22994",1,"2002 - Tenderfoot Fall","ABLA",14.732,"Abies_lasiocarpa",100,4.57,0
"22995",0,"2003 - Tenderfoot Spring","ABLA",14.478,"Abies_lasiocarpa",0,0,0
"22996",0,"2003 - Tenderfoot Spring","ABLA",15.748,"Abies_lasiocarpa",0,0,0
"22997",0,"2002 - Tenderfoot Fall","ABLA",10.922,"Abies_lasiocarpa",0,0,0
"22998",0,"2002 - Tenderfoot Fall","ABLA",14.732,"Abies_lasiocarpa",0,0,0
"22999",0,"2002 - Tenderfoot Fall","ABLA",27.94,"Abies_lasiocarpa",0,0,0
"23000",0,"2002 - Tenderfoot Fall","ABLA",13.97,"Abies_lasiocarpa",0,0,0
"23001",0,"2002 - Tenderfoot Fall","ABLA",10.16,"Abies_lasiocarpa",0,0,0
"23002",0,"2002 - Tenderfoot Fall","ABLA",10.16,"Abies_lasiocarpa",0,0,0
"23003",1,"2002 - Tenderfoot Fall","ABLA",15.24,"Abies_lasiocarpa",100,2.44,0
"23004",1,"2002 - Tenderfoot Fall","ABLA",15.494,"Abies_lasiocarpa",100,4.57,0
"23005",1,"2002 - Tenderfoot Fall","ABLA",11.176,"Abies_lasiocarpa",100,3.05,0
"23006",1,"2002 - Tenderfoot Fall","ABLA",11.938,"Abies_lasiocarpa",100,4.57,0
"23007",1,"2002 - Tenderfoot Fall","ABLA",11.938,"Abies_lasiocarpa",100,7.62,0
"23008",1,"2002 - Tenderfoot Fall","ABLA",11.176,"Abies_lasiocarpa",100,6.1,0
"23009",1,"2002 - Tenderfoot Fall","ABLA",13.462,"Abies_lasiocarpa",100,4.57,0
"23010",1,"2002 - Tenderfoot Fall","ABLA",10.668,"Abies_lasiocarpa",100,2.44,0
"23011",1,"2002 - Tenderfoot Fall","ABLA",14.732,"Abies_lasiocarpa",100,6.1,0
"23012",1,"2002 - Tenderfoot Fall","ABLA",12.192,"Abies_lasiocarpa",100,3.05,0
"23013",1,"2002 - Tenderfoot Fall","ABLA",14.732,"Abies_lasiocarpa",100,6.1,0
"23014",1,"2002 - Tenderfoot Fall","ABLA",13.208,"Abies_lasiocarpa",100,6.1,0
"23015",1,"2002 - Tenderfoot Fall","ABLA",13.208,"Abies_lasiocarpa",100,3.05,0
"23016",1,"2002 - Tenderfoot Fall","ABLA",20.828,"Abies_lasiocarpa",100,3.66,0
"23017",1,"2002 - Tenderfoot Fall","ABLA",12.954,"Abies_lasiocarpa",100,1.83,0
"23018",1,"2002 - Tenderfoot Fall","ABLA",24.13,"Abies_lasiocarpa",100,9.14,0
"23019",1,"2002 - Tenderfoot Fall","ABLA",11.938,"Abies_lasiocarpa",100,3.05,0
"23020",1,"2002 - Tenderfoot Fall","ABLA",10.668,"Abies_lasiocarpa",100,1.22,0
"23021",1,"2002 - Tenderfoot Fall","ABLA",11.43,"Abies_lasiocarpa",100,0,0
"23022",1,"2002 - Tenderfoot Fall","ABLA",20.574,"Abies_lasiocarpa",100,3.05,0
"23023",1,"2002 - Tenderfoot Fall","ABLA",27.686,"Abies_lasiocarpa",100,3.66,0
"23024",1,"2002 - Tenderfoot Fall","ABLA",12.954,"Abies_lasiocarpa",100,3.66,0
"23025",1,"2002 - Tenderfoot Fall","ABLA",13.716,"Abies_lasiocarpa",100,0.91,0
"23026",1,"2002 - Tenderfoot Fall","ABLA",17.78,"Abies_lasiocarpa",95,7.62,0
"23027",0,"2002 - Tenderfoot Fall","ABLA",15.494,"Abies_lasiocarpa",95,1.83,0
"23028",1,"2003 - Tenderfoot Spring","ABLA",22.352,"Abies_lasiocarpa",100,0,0
"23029",1,"2003 - Tenderfoot Spring","ABLA",10.414,"Abies_lasiocarpa",100,0,0
"23030",1,"2003 - Tenderfoot Spring","ABLA",17.78,"Abies_lasiocarpa",100,1.22,0
"23031",1,"2002 - Tenderfoot Fall","ABLA",20.066,"Abies_lasiocarpa",100,0,0
"23032",1,"2002 - Tenderfoot Fall","ABLA",10.16,"Abies_lasiocarpa",100,3.05,0
